Designator,Mid X,Mid Y,Layer,Rotation
R32,25.24,63.66,Top,270
R33,17.3,75.88,Top,270
R34,22.54,73.98,Top,270
R35,24.13,63.66,Top,90
R36,20.48,62.55,Top,90
R37,15.72,75.25,Top,270
R38,25.4,68.9,Top,270
R39,17.3,73.34,Top,270
R40,23.81,73.98,Top,270
R41,54.61,61.91,Top,270
R42,44.29,63.82,Top,90
R43,43.18,63.82,Top,270
R44,45.4,63.82,Top,270
R45,43.18,73.98,Top,270
R46,44.45,73.98,Top,270
R47,49.21,63.82,Top,90
R48,46.99,63.82,Top,90
R49,48.1,63.82,Top,90
T1,1.91,17.14,Top,90
T2,1.91,46.36,Top,90
U$3,72.13,20.32,Top,270
U$4,72.13,63.5,Top,270
U$5,76.47,20.32,Top,90
U$6,76.47,63.5,Top,90
U1,33.02,68.9,Top,0
X1,27.94,1.27,Top,0
X2,27.94,30.48,Top,0
